label,text
1,🚨 W I N N E R ! 🚨 Your account is restricted. W I N N E R here to fix it.
1,You have won ₹1000. Claim reward before midnight.
1,🚨 B_A_N_K ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
1,Investment opportunity! Double your money in 7 days.
1,"Hey it's Anna, my phone broke, text me at this new number."
1,🚨 C1ick ! 🚨 Your account is restricted. A_L_E_R_T here to fix it.
1,🚨 C_L_A_I_M ! 🚨 Your account is restricted. V 1 s 1 t here to fix it.
0,OMG I won the $638 prize!!!
1,🚨 W_I_N_N_E_R ! 🚨 Your account is restricted. B_A_N_K here to fix it.
1,Aap ₹5000 jeet gaye hain. Reward claim karne ke liye link par click karein.
1,🚨 U r g e n t ! 🚨 Your account is restricted. C_L_A_I_M here to fix it.
0,Can you transfer $394 for textbooks?
0,OMG I won the $973 prize!!!
1,🚨 C_L_A_I_M ! 🚨 Your account is restricted. W I N N E R here to fix it.
1,"Anna I left my jacket at your place, right?"
1,"I found your phone, please reply."
0,Can you transfer $104 for tickets?
1,"We tried to deliver a package to friend, please contact us."
0,"Bhai 644 rupaye de de, kal pakka."
1,OTP verification failed. Login again using the secure link.
1,"Dear customer, your package is on hold. Pay small fee to release it."
1,Can you do me a quick favor Sarah?
1,🚨 F R E E ! 🚨 Your account is restricted. V 1 s 1 t here to fix it.
1,🚨 V 1 s 1 t ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
0,"Bhai 848 rupaye de de, kal pakka."
0,"Bhai 204 rupaye de de, kal pakka."
1,"We tried to deliver a package to Sarah, please contact us."
1,🚨 W I N N E R ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
0,Can you transfer $81 for tickets?
1,🚨 C_L_A_I_M ! 🚨 Your account is restricted. C_L_A_I_M here to fix it.
1,🚨 A.m.a.z.o.n ! 🚨 Your account is restricted. B_A_N_K here to fix it.
0,"Bhai 279 rupaye de de, kal pakka."
0,"Bhai 213 rupaye de de, kal pakka."
0,OMG I won the $289 prize!!!
0,Can you transfer $388 for tickets?
1,🚨 U r g e n t ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
0,OMG I won the $601 prize!!!
1,Is this buddy? I think we met last week.
1,🚨 U r g e n t ! 🚨 Your account is restricted. U r g e n t here to fix it.
0,OMG I won the $868 prize!!!
1,🚨 C0ngratulati0ns ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
1,🚨 U r g e n t ! 🚨 Your account is restricted. V 1 s 1 t here to fix it.
0,OMG I won the $679 prize!!!
1,🚨 A.m.a.z.o.n ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
0,"Bhai 695 rupaye de de, kal pakka."
1,🚨 V 1 s 1 t ! 🚨 Your account is restricted. W_I_N_N_E_R here to fix it.
1,Is this friend? I think we met last week.
0,Free Zoom in the breakroom!
0,"Bhai 647 rupaye de de, kal pakka."
0,Can you transfer $458 for rent?
1,"bro I left my jacket at your place, right?"
1,🚨 A.m.a.z.o.n ! 🚨 Your account is restricted. W_I_N_N_E_R here to fix it.
0,"Bhai 725 rupaye de de, kal pakka."
1,🚨 W_I_N_N_E_R ! 🚨 Your account is restricted. F R E E here to fix it.
0,OMG I won the $183 prize!!!
0,OMG I won the $214 prize!!!
1,🚨 C_L_A_I_M ! 🚨 Your account is restricted. A.m.a.z.o.n here to fix it.
1,🚨 F R E E ! 🚨 Your account is restricted. C_L_A_I_M here to fix it.
0,Don't forget to claim your pizza reimbursement.
0,Can you transfer $32 for textbooks?
1,🚨 R_E_W_A_R_D ! 🚨 Your account is restricted. C_L_A_I_M here to fix it.
1,"Hey it's Mom, my phone broke, text me at this new number."
0,Don't forget to claim your meeting reimbursement.
1,बधाई हो! आपने ₹1000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,"Mike I left my jacket at your place, right?"
1,🚨 A.m.a.z.o.n ! 🚨 Your account is restricted. R_E_W_A_R_D here to fix it.
0,URGENT: call me back
1,You have won ₹25000. Claim reward before midnight.
1,C0ngratulati0ns! Y0ur acc0unt has been selected for a reward. Cl1ck h3re now.
0,OMG I won the $175 prize!!!
1,🚨 F R E E ! 🚨 Your account is restricted. W_I_N_N_E_R here to fix it.
0,OMG I won the $615 prize!!!
1,"Hi Mom, are we still meeting tomorrow?"
0,Can you transfer $135 for rent?
0,Free meeting in the breakroom!
0,OMG I won the $901 prize!!!
1,"Hey it's friend, my phone broke, text me at this new number."
1,🚨 V 1 s 1 t ! 🚨 Your account is restricted. A.m.a.z.o.n here to fix it.
1,🚨 C0ngratulati0ns ! 🚨 Your account is restricted. W I N N E R here to fix it.
1,🚨 U r g e n t ! 🚨 Your account is restricted. W I N N E R here to fix it.
0,Please use this link for pizza.
1,Aap ₹500 jeet gaye hain. Reward claim karne ke liye link par click karein.
1,🚨 C0ngratulati0ns ! 🚨 Your account is restricted. U r g e n t here to fix it.
1,W I N N E R ! ! ! Claim your F R E E gift card today.
0,"Bhai 178 rupaye de de, kal pakka."
1,🚨 B_A_N_K ! 🚨 Your account is restricted. C_L_A_I_M here to fix it.
0,Please use this link for internet.
0,"Bhai 653 rupaye de de, kal pakka."
0,Can you transfer $496 for rent?
1,🚨 F R E E ! 🚨 Your account is restricted. B_A_N_K here to fix it.
1,Is this bro? I think we met last week.
1,🚨 B_A_N_K ! 🚨 Your account is restricted. C1ick here to fix it.
1,🚨 V 1 s 1 t ! 🚨 Your account is restricted. W I N N E R here to fix it.
1,Can you do me a quick favor Mom?
0,"Bhai 274 rupaye de de, kal pakka."
1,"We tried to deliver a package to Anna, please contact us."
0,OMG I won the $882 prize!!!
1,Aap ₹2000 jeet gaye hain. Reward claim karne ke liye link par click karein.
0,"Bhai 139 rupaye de de, kal pakka."
0,OMG I won the $586 prize!!!
1,🚨 C0ngratulati0ns ! 🚨 Your account is restricted. C1ick here to fix it.
0,"Bhai 641 rupaye de de, kal pakka."
0,URGENT: pick up the kids
1,🚨 R_E_W_A_R_D ! 🚨 Your account is restricted. F R E E here to fix it.
1,Is this Mike? I think we met last week.
0,Please use this link for dinner.
0,OMG I won the $748 prize!!!
1,Aap ₹25000 jeet gaye hain. Reward claim karne ke liye link par click karein.
1,🚨 P.a.y.P.a.l ! 🚨 Your account is restricted. A.m.a.z.o.n here to fix it.
1,"I found your dog, please reply."
0,URGENT: send me the report
1,🚨 B_A_N_K ! 🚨 Your account is restricted. W_I_N_N_E_R here to fix it.
0,OMG I won the $371 prize!!!
0,"Bhai 842 rupaye de de, kal pakka."
1,🚨 W I N N E R ! 🚨 Your account is restricted. C0ngratulati0ns here to fix it.
1,🚨 A.m.a.z.o.n ! 🚨 Your account is restricted. U r g e n t here to fix it.
0,"Bhai 497 rupaye de de, kal pakka."
1,🚨 A_L_E_R_T ! 🚨 Your account is restricted. C0ngratulati0ns here to fix it.
1,बधाई हो! आपने ₹50000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,🚨 F R E E ! 🚨 Your account is restricted. C0ngratulati0ns here to fix it.
1,🚨 V 1 s 1 t ! 🚨 Your account is restricted. C_L_A_I_M here to fix it.
0,Can you transfer $215 for textbooks?
0,OMG I won the $958 prize!!!
0,OMG I won the $698 prize!!!
1,🚨 V 1 s 1 t ! 🚨 Your account is restricted. C1ick here to fix it.
1,🚨 V 1 s 1 t ! 🚨 Your account is restricted. R_E_W_A_R_D here to fix it.
1,Aap ₹1000 jeet gaye hain. Reward claim karne ke liye link par click karein.
1,🚨 W_I_N_N_E_R ! 🚨 Your account is restricted. A.m.a.z.o.n here to fix it.
1,Can you do me a quick favor John?
0,"Bhai 474 rupaye de de, kal pakka."
1,🚨 F R E E ! 🚨 Your account is restricted. R_E_W_A_R_D here to fix it.
1,"We tried to deliver a package to Mom, please contact us."
1,🚨 C_L_A_I_M ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
1,🚨 R_E_W_A_R_D ! 🚨 Your account is restricted. W I N N E R here to fix it.
1,🚨 P.a.y.P.a.l ! 🚨 Your account is restricted. C1ick here to fix it.
0,Don't forget to claim your internet reimbursement.
0,Can you transfer $448 for tickets?
0,Can you transfer $308 for rent?
0,Free internet in the breakroom!
0,"Bhai 733 rupaye de de, kal pakka."
0,"Bhai 169 rupaye de de, kal pakka."
1,🚨 W I N N E R ! 🚨 Your account is restricted. V 1 s 1 t here to fix it.
0,"Bhai 381 rupaye de de, kal pakka."
0,Please use this link for tournament.
0,Can you transfer $446 for rent?
1,🚨 W I N N E R ! 🚨 Your account is restricted. R_E_W_A_R_D here to fix it.
0,Please use this link for Zoom.
0,"Bhai 631 rupaye de de, kal pakka."
1,"Hi buddy, are we still meeting tomorrow?"
1,Aap ₹50000 jeet gaye hain. Reward claim karne ke liye link par click karein.
1,Can you do me a quick favor Mike?
1,बधाई हो! आपने ₹25000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,🚨 R_E_W_A_R_D ! 🚨 Your account is restricted. V 1 s 1 t here to fix it.
0,Can you transfer $403 for textbooks?
0,Please use this link for tickets.
1,Can you do me a quick favor bro?
1,🚨 C1ick ! 🚨 Your account is restricted. C_L_A_I_M here to fix it.
1,You have won ₹2000. Claim reward before midnight.
1,🚨 C1ick ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
1,Is this Dave? I think we met last week.
0,Can you transfer $428 for rent?
0,OMG I won the $977 prize!!!
1,🚨 A_L_E_R_T ! 🚨 Your account is restricted. B_A_N_K here to fix it.
1,🚨 W_I_N_N_E_R ! 🚨 Your account is restricted. U r g e n t here to fix it.
0,Can you transfer $246 for tickets?
1,"Hey it's buddy, my phone broke, text me at this new number."
1,"Dear user, your UPI account will be blocked within 24 hours. Update KYC now."
1,🚨 U r g e n t ! 🚨 Your account is restricted. R_E_W_A_R_D here to fix it.
1,🚨 R_E_W_A_R_D ! 🚨 Your account is restricted. P.a.y.P.a.l here to fix it.
1,"I found your wallet, please reply."
0,OMG I won the $696 prize!!!
1,"I found your bag, please reply."
0,Can you transfer $211 for tickets?
0,"Bhai 777 rupaye de de, kal pakka."
1,🚨 C1ick ! 🚨 Your account is restricted. C1ick here to fix it.
0,Can you transfer $473 for textbooks?
1,You have won ₹50000. Claim reward before midnight.
0,Free dinner in the breakroom!
1,🚨 C1ick ! 🚨 Your account is restricted. R_E_W_A_R_D here to fix it.
0,"Bhai 601 rupaye de de, kal pakka."
0,Can you transfer $440 for dinner?
1,Earn ₹5000/day from home. Limited seats. Register immediately.
0,"Bhai 254 rupaye de de, kal pakka."
1,बधाई हो! आपने ₹10000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,W I N N E R ! ! ! Claim your F R E E gift card today.
1,"Hi John, are we still meeting for golf at 2 PM tomorrow?"
1,"Dear customer, your package is on hold. Pay small fee to release it."
1,Are you available for a quick chat?
1,Investment opportunity! Double your money in 7 days.
1,OTP verification failed. Login again using the secure link.
0,"URGENT: Your Chase bank account ending in 4432 has been debited $500. If this was not you, reply NO immediately."
0,"Bhai 500 rupaye Paytm kar de, kal wapas de dunga."
1,You have won ₹10000. Claim reward before midnight.
1,You have won ₹2000. Claim reward before midnight.
1,बधाई हो! आपने ₹5000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,W I N N E R ! ! ! U have been selected for a F R E E gift card.
1,C0ngratulati0ns! Y0ur acc0unt has been selected for a reward. Cl1ck h3re now.
1,I think I left my jacket at your place last night?
1,बधाई हो! आपने ₹2000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,"Mummy main mushkil mein hoon, is number par turant call karo."
0,OMG dude I actually won the $1000 prize money from the tournament!!! Here is the link to the official photos: www.tourney-pics.com/234
1,Can you do me a quick favor? I'm in a meeting right now.
0,"Hey, I need that report urgently by 5 PM."
1,You have won ₹25000. Claim reward before midnight.
0,"URGENT: Please pick up the kids from school today, my meeting is running late!"
0,"Mom, can you transfer $100 to my account? I need to buy textbooks."
1,Aap ₹5000 jeet gaye hain. Reward claim karne ke liye link par click karein.
1,"Dear user, your UPI account will be blocked within 24 hours. Update KYC now."
1,Hey! Long time no see. How have you been?
1,We tried to deliver your package today but no one was home. Please contact us to reschedule.
0,Please click the Zoom link below to join the weekly standup meeting.
0,"Free pizza in the breakroom guys, come get it before it's gone!"
1,You have won ₹1000. Claim reward before midnight.
1,It was great meeting you today! Let's connect later.
0,Can you check if my Amazon package arrived? It says delivered.
1,Aap ₹10000 jeet gaye hain. Reward claim karne ke liye link par click karein.
0,Warning: Heavy snow expected tonight. Please drive safe.
1,Bank alert: unusual activity detected. Confirm details immediately.
1,S.P.E.C.I.A.L O.F.F.E.R J.U.S.T F.O.R Y.O.U.
1,🚨 WARNING 🚨 Your account is locked. Verify immediately.
1,बधाई हो! आपने ₹500 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
0,I just sent you the $50 for last night's dinner via Venmo.
1,Aap ₹25000 jeet gaye hain. Reward claim karne ke liye link par click karein.
1,Your appointment is confirmed for tomorrow. Reply YES to keep it or NO to cancel.
1,Aap ₹1000 jeet gaye hain. Reward claim karne ke liye link par click karein.
0,"Hi Team, please remember to claim your $50 monthly internet reimbursement by Friday. Use the portal link."
1,F_R_E_E M_O_N_E_Y !!!
1,🚨🚨🚨 WARNING 🚨🚨🚨 Your account is locked! 🔓 Click here ⬇️⬇️⬇️ to unlock! 💰
1,B_A_N_K A_L_E_R_T: K_Y_C Update Required.
1,You have won ₹5000. Claim reward before midnight.
1,Aap ₹50000 jeet gaye hain. Reward claim karne ke liye link par click karein.
0,Congratulations to Sarah for winning the employee of the month award! 🎉
1,बधाई हो! आपने ₹1000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,"Hey Mom, it's me. My phone broke and I'm using a friend's phone right now. Can you quickly text me at this new number? It's an emergency."
1,बधाई हो! आपने ₹50000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,V 1 A G R A for cheap!
1,U r g e n t : Y o u r p a c k a g e i s d e l a y e d .
1,Fr33 cashback available. V1sit portal now.
1,You have won ₹50000. Claim reward before midnight.
1,P.a.y.P.a.l A.l.e.r.t: Your acct is restricted.
1,C0ngratulati0ns! Y0ur acct has been selectd for a refvud. C1ick here.
0,"Bhai tera Netflix password dena please, mera free trial khatam ho gaya hai."
1,Aap ₹500 jeet gaye hain. Reward claim karne ke liye link par click karein.
0,"Your tuition payment of $4,500 is due on the 15th. Please visit the student portal."
1,Y0u hav3 w0n a pr1z3!
1,Earn ₹5000/day from home. Limited seats. Register immediately.
1,"Hello, is this the owner of the white Honda Civic?"
1,You have won ₹500. Claim reward before midnight.
1,URGENT: KYC update required. Click link to avoid suspension.
1,Aap ₹2000 jeet gaye hain. Reward claim karne ke liye link par click karein.
1,बधाई हो! आपने ₹25000 जीते हैं। पुरस्कार प्राप्त करने के लिए लिंक पर क्लिक करें।
1,"I found your dog, please message me back."
1,Your parcel is waiting. Confirm address and pay delivery fee.
1,"Sir, aapka parcel return ho gaya hai. Address confirm karne ke liye call karein."
